kind,mode,round,log,cpu_p50_ms,cpu_p99_ms,measured_loop_wall_s,process_cpu_s,alloc_B_frame,rss_peak_MiB,private_peak_MiB,managed_heap_peak_MiB,managed_retained_peak_MiB,managed_retained_post_gc_MiB,gpu_main_p50_ms,gpu_main_p99_ms,vk_allocated_peak_MiB,cache_peak_MiB,image_resident_peak_MiB,text_resident_peak_MiB,readback_pool_resident_before_close_MiB,gpu_upload_samples,gpu_upload_p50_ms,gpu_upload_p99_ms,gpu_effects_samples,gpu_effects_p50_ms,gpu_effects_p99_ms,gpu_offscreen_samples,gpu_offscreen_p50_ms,gpu_offscreen_p99_ms
button,sparse,1,logs/012-r1-button-sparse.log.gz,0.643624,1.777191,1.559019512,2.078417,1120.0,161.359375,152.57421875,11.48919677734375,6.6515350341796875,6.6515350341796875,0.004096,0.01536,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
button,sparse,2,logs/024-r2-button-sparse.log.gz,0.780552,2.345141,1.816950218,2.301603,1120.0,161.24609375,152.578125,11.482032775878906,6.6456756591796875,6.6456756591796875,0.004096,0.014336,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
button,sparse,3,logs/057-r3-button-sparse.log.gz,0.750445,1.444404,1.636926505,2.139918,1120.0,161.0625,152.51171875,11.4822998046875,6.6456756591796875,6.6456756591796875,0.004096,0.014336,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
button,full,1,logs/019-r1-button-full.log.gz,3.331752,4.638135,7.032521944,7.312949,960160.0,170.28125,163.65625,16.011558532714844,6.684234619140625,6.684234619140625,0.027648,0.033792,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
button,full,2,logs/031-r2-button-full.log.gz,3.793382,14.053659,8.545098392,8.433297,960160.0,170.734375,163.66015625,16.000595092773438,6.684234619140625,6.684234619140625,0.026624,0.033792,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
button,full,3,logs/043-r3-button-full.log.gz,3.47392,4.684844,7.259253059,7.5793,960160.0,170.44921875,163.66015625,16.003273010253906,6.684234619140625,6.684234619140625,0.024576,0.044032,6.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
text-entry,unchanged,1,logs/006-r1-text-entry-unchanged.log.gz,3.031035,4.407681,6.375258387,6.772666,0.0,175.7578125,163.34375,14.528419494628906,11.857841491699219,11.807830810546875,0.408576,0.420864,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
text-entry,unchanged,2,logs/039-r2-text-entry-unchanged.log.gz,3.27238,4.398423,6.696258979,7.075062,0.0,175.7421875,163.41015625,14.535850524902344,11.857841491699219,11.807830810546875,0.406528,0.41472,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
text-entry,unchanged,3,logs/051-r3-text-entry-unchanged.log.gz,3.274955,4.442847,6.676552394,7.087563,0.0,175.8671875,163.44140625,14.528419494628906,11.857841491699219,11.807830810546875,0.416768,0.543744,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.00016,0,0.0,0.0,0,0.0,0.0
text-entry,sparse,1,logs/013-r1-text-entry-sparse.log.gz,3.297107,4.382684,6.739008432,7.145176,824.0,178.2265625,163.9921875,16.107025146484375,11.860984802246094,11.80804443359375,0.408576,0.417792,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
text-entry,sparse,2,logs/025-r2-text-entry-sparse.log.gz,3.566926,6.083471,7.595229023,7.911,824.0,178.3359375,164.00390625,16.1070556640625,11.860984802246094,11.80804443359375,0.406528,0.422912,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-entry,sparse,3,logs/058-r3-text-entry-sparse.log.gz,3.129992,4.208485,6.474767674,6.866682,824.0,178.27734375,164.10546875,16.11450958251953,11.860984802246094,11.81390380859375,0.406528,0.425984,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
text-entry,full,1,logs/020-r1-text-entry-full.log.gz,5.633783,7.371619,11.607178753,12.031649,664160.0,204.6484375,190.890625,20.80980682373047,11.846603393554688,11.846603393554688,0.85504,2.019328,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-entry,full,2,logs/032-r2-text-entry-full.log.gz,6.519112,24.164241,14.714599599,14.153094,664160.0,204.65625,190.828125,21.16535186767578,11.846603393554688,11.846603393554688,0.477184,0.561152,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-entry,full,3,logs/044-r3-text-entry-full.log.gz,5.645384,7.035094,11.569075543,11.999646,664160.0,204.84375,190.96484375,21.12352752685547,11.846603393554688,11.846603393554688,0.715776,1.046528,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-editor,unchanged,1,logs/007-r1-text-editor-unchanged.log.gz,3.315983,4.389015,6.892178296,7.200886,0.0,180.875,166.65625,16.74517822265625,14.067062377929688,14.037124633789062,0.408576,0.427008,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
text-editor,unchanged,2,logs/040-r2-text-editor-unchanged.log.gz,3.455415,4.653234,7.082175938,7.448462,0.0,180.72265625,166.65234375,16.744094848632812,14.067062377929688,14.037124633789062,0.407552,0.474112,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000224,0,0.0,0.0,0,0.0,0.0
text-editor,unchanged,3,logs/052-r3-text-editor-unchanged.log.gz,3.728981,6.095974,7.816449748,8.249967,0.0,180.8515625,166.68359375,16.745040893554688,14.067062377929688,14.037124633789062,0.405504,0.420864,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000192,0,0.0,0.0,0,0.0,0.0
text-editor,sparse,1,logs/014-r1-text-editor-sparse.log.gz,3.63281,5.407255,7.434570139,7.946759,968.0,182.3359375,167.71875,18.60527801513672,14.070228576660156,14.043220520019531,0.407552,0.421888,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
text-editor,sparse,2,logs/026-r2-text-editor-sparse.log.gz,3.572015,4.907884,7.359853982,7.772755,968.0,182.28515625,167.72265625,18.58966827392578,14.070228576660156,14.037361145019531,0.405504,0.418816,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-editor,sparse,3,logs/059-r3-text-editor-sparse.log.gz,3.523925,4.829276,7.270456968,7.71151,968.0,182.328125,167.70703125,18.589675903320312,14.070228576660156,14.037361145019531,0.420864,0.447488,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,9.6e-05,0,0.0,0.0,0,0.0,0.0
text-editor,full,1,logs/021-r1-text-editor-full.log.gz,6.32742,9.061525,13.045654161,13.46394,808160.0,219.01171875,205.09375,23.376419067382812,14.075920104980469,14.075920104980469,1.026048,2.04288,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-editor,full,2,logs/033-r2-text-editor-full.log.gz,6.986463,10.81464,14.505086732,14.834972,808160.0,218.77734375,205.1015625,23.27460479736328,14.075920104980469,14.075920104980469,0.51712,0.562176,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.000128,0,0.0,0.0,0,0.0,0.0
text-editor,full,3,logs/045-r3-text-editor-full.log.gz,6.611937,10.301002,13.719357769,14.096716,808160.0,219.078125,205.15625,23.292884826660156,14.075920104980469,14.075920104980469,0.667648,1.099776,8.0,0.25,0.0,0.25,0.0,2000,9.6e-05,0.00016,0,0.0,0.0,0,0.0,0.0
